leaf	pustule	chlorosis	background
98,126,35	140,84,0	190,189,87	227,226,221
105,132,43	129,67,0	186,185,82	224,223,218
99,130,36	206,144,79	178,174,71	224,223,218
95,126,30	172,110,41	172,169,68	233,232,227
97,128,31	143,83,0	180,177,81	232,231,226
97,128,31	161,101,27	151,149,52	233,232,227
96,129,27	154,98,15	146,146,50	231,230,225
96,124,32	133,78,0	182,181,77	239,238,233
99,127,36	127,66,0	184,180,78	231,230,225
97,128,33	191,130,64	182,178,76	228,227,222
96,127,31	183,121,54	181,177,78	232,231,226
96,127,30	153,93,19	160,158,59	227,226,221
97,128,31	148,88,1	137,135,35	231,230,225
98,132,30	126,69,0	146,146,50	234,233,228
98,126,35	154,99,23	180,178,78	239,238,233
98,126,35	111,50,0	182,178,76	239,238,233
99,130,36	157,98,22	183,179,77	240,239,234
100,131,37	176,117,47	184,180,78	241,240,235
98,129,33	161,101,31	165,164,62	233,232,227
98,129,33	155,99,23	143,140,38	237,235,231
99,133,32	127,70,0	147,147,51	241,240,235
102,129,39	157,106,35	185,184,84	242,241,236
99,127,36	107,49,0	190,187,85	238,236,232
103,134,40	188,131,67	183,181,76	234,233,228
106,137,44	199,142,79	171,167,64	241,240,235
100,131,35	164,107,39	171,170,68	237,235,231
98,129,33	150,95,15	151,149,49	232,231,226
100,134,33	123,69,0	150,150,55	224,223,218
102,129,39	139,90,5	187,186,86	237,235,231
97,125,33	122,67,0	193,189,88	232,231,226
100,131,37	157,103,32	180,177,72	230,229,224
105,136,42	179,125,59	162,159,54	242,241,236
98,129,33	151,96,22	169,168,66	246,245,240
96,127,30	135,84,0	154,151,52	247,246,241
99,133,32	106,53,0	150,151,54	237,235,231
98,126,35	133,85,0	181,179,79	228,227,222
92,119,22	113,61,0	183,179,77	228,227,222
96,127,31	157,106,35	179,176,71	220,219,215
102,133,38	178,126,62	172,169,65	226,225,220
94,125,27	142,89,14	163,162,60	226,225,220
94,125,27	123,74,0	151,149,49	233,232,227
100,131,35	99,48,0	147,148,50	233,232,227
98,126,31	122,73,0	183,182,81	234,233,228
98,127,29	108,55,0	184,180,78	228,227,222
107,135,42	131,76,0	179,176,71	241,240,235
105,132,40	180,126,60	174,172,66	237,235,231
104,131,38	164,112,45	163,162,60	227,226,221
105,134,38	141,91,14	152,150,50	230,229,224
99,128,31	101,52,0	147,148,50	230,229,224
87,102,57	209,159,112	213,195,88	229,225,221
85,100,55	153,98,50	218,199,90	229,225,221
87,102,54	114,65,0	210,193,81	229,225,221
87,105,57	149,104,37	207,191,79	228,223,220
78,97,44	162,119,45	205,192,78	228,223,220
78,99,43	187,140,63	203,191,78	224,219,216
84,102,48	208,162,87	203,194,83	228,223,220
85,100,55	190,140,92	214,195,88	227,222,219
84,99,53	155,101,49	218,199,90	226,221,218
87,102,54	108,58,0	210,193,81	224,219,216
87,105,57	149,105,33	209,192,79	223,218,214
82,100,48	189,143,69	203,190,75	222,217,213
83,103,48	178,133,50	197,186,72	221,216,212
90,108,54	159,112,24	197,190,79	224,219,216
87,102,57	188,142,90	217,198,91	231,227,223
87,102,54	174,122,72	222,203,93	229,225,221
85,100,52	129,80,3	217,196,87	225,220,217
85,103,52	163,115,45	214,195,83	223,218,214
87,105,54	193,146,69	210,193,80	221,216,212
97,118,63	159,112,21	201,189,76	219,214,210
83,102,45	134,88,0	202,195,83	222,217,213
92,106,59	185,141,88	198,180,71	228,223,220
90,104,57	167,117,62	197,178,65	225,220,217
85,100,52	139,91,17	212,186,77	225,220,217
84,102,50	168,119,47	214,188,80	228,223,220
85,103,52	169,122,38	206,188,76	231,227,223
95,115,61	150,103,0	203,191,81	229,225,221
83,103,46	154,108,0	193,188,75	233,228,224
86,101,53	170,126,69	207,190,82	223,218,214
84,99,51	167,118,61	212,191,81	222,217,213
84,99,48	160,113,44	219,189,82	224,219,216
85,103,52	183,135,61	219,189,82	224,219,216
81,99,44	163,113,27	209,187,81	220,215,211
84,104,49	150,101,0	203,191,81	216,212,208
92,112,56	156,112,3	198,194,84	213,208,205
84,99,48	161,121,61	213,196,85	235,230,226
82,96,46	180,135,75	222,202,90	231,227,223
84,99,48	176,127,59	219,190,80	230,226,222
85,103,52	175,125,47	219,190,80	229,225,221
82,100,45	144,92,0	211,190,80	224,219,216
85,106,49	139,90,0	206,193,80	229,225,221
83,103,46	154,112,4	208,201,91	239,234,231
92,110,59	157,118,50	206,190,78	228,223,220
90,104,54	153,109,37	222,198,88	223,218,214
85,100,49	175,126,55	212,182,72	223,218,214
84,102,50	141,91,0	213,183,73	225,220,217
